variable,group,name
Population,0,Population
Income,0,Income per Capita
Nutrition|Calorie Supply|+|Crops,1,Calorie Supply from Crops per Capita
Nutrition|Calorie Supply|+|Livestock products,1,Calorie Supply from Livestock Products per Capita
Nutrition|Calorie Supply|+|Secondary products,1,Calorie Supply from Secondary Products per Capita
Nutrition|Calorie Supply|+|Fish,1,Calorie Supply from Fish per Capita
Demand|Food|+|Crops,2,Demand for Crops
Demand|Food|+|Livestock products,2,Demand for Livestock Products
Prices|Agriculture|Temperate cereals,3,Prices for Temperate Cereals
Prices|Agriculture|Rice,3,Prices for Rice
Prices|Agriculture|Poultry meat,3,Prices for Poultry meat
Prices|Agriculture|Ruminant meat,3,Prices for Ruminant meat
Household Expenditure|Food|Expenditure Share|Crops,4,Household Expenditure Share for Crops
Household Expenditure|Food|Expenditure Share|Livestock products,4,Household Expenditure Share for Livestock Products
Resources|Land Cover|+|Cropland,5,Cropland
Resources|Land Cover|+|Pastures and Rangelands,5,Pastures and Rangelands
Resources|Land Cover|Forest|+|Natural Forest,5,Natural Forest
Resources|Land Cover|Forest|+|Managed Forest,5,Managed Forest
Resources|Land Cover|+|Other Land,5,Other Land
Resources|Land Cover|+|Urban Area,5,Urban Area
Productivity|Yield|+|Crops,6,Crop Yield
Productivity|Yield|+|Pasture,6,Pasture Yield
Productivity|Yield|+|Forage,6,Forage Yield
Resources|Land Cover|Cropland|Area actually irrigated,7,Irrigated Cropland
Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer,7,Nitrogen Input from Fertilization
Emissions|CH4|Land|+|Agriculture,8,AFOLU CH₄ Emissions
Emissions|CH4|Land|+|Land-use Change,8,AFOLU CH₄ Emissions
Emissions|CO2|Land|+|Agriculture,8,AFOLU CO₂ Emissions
Emissions|CO2|Land|+|Land-use Change,8,AFOLU CO₂ Emissions
Emissions|N2O|Land|+|Agriculture,8,AFOLU N₂O Emissions
Emissions|N2O|Land|+|Land-use Change,8,AFOLU N₂O Emissions
