Model,Scenario,Region,Variable,Unit,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150,Column263
WDI,historical,World,Population,million people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3013.884,3054.6156,3107.2736,3172.0728,3237.2774,3303.9083,3373.6811,3443.1321,3513.3574,3587.7583,3662.9311,3740.176,3816.6738,3892.2936,3968.5708,4043.0819,4115.5784,4187.8302,4261.2976,4336.6066,4412.6854,4490.747,4571.7333,4653.4539,4734.9026,4817.884,4903.3691,4990.9898,5079.5239,5168.2052,5265.8587,5352.9951,5436.9726,5521.8663,5605.6248,5690.3533,5772.9873,5855.5682,5937.2174,6017.8989,6097.6495,6177.1482,6256.2137,6335.4811,6415.3208,6495.7089,6576.7781,6658.4164,6741.394,6824.5708,6907.7965,6989.8525,7069.7681,7155.1562,7241.2,7327.2849,7413.714,7499.7433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James,historical,World,Income,US$05 PPP/cap/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3760.9735,3868.2819,3984.1667,4071.5172,4259.1221,4394.3159,4523.9769,4605.7642,4768.2622,4912.4704,5037.4466,5139.3307,5284.4474,5507.6571,5543.1373,5522.0866,5698.5682,5813.5601,5948.3914,6050.0166,6048.4783,6046.3242,5988.0392,6038.4474,6190.3423,6295.7344,6397.4488,6503.8563,6662.3438,6771.601,6831.867,6805.6122,6789.5666,6802.2254,6909.0506,7028.3733,7181.4909,7357.1321,7429.9492,7592.3363,7839.0034,7910.243,8022.3669,8200.1168,8502.9234,8817.7249,9160.9138,9528.1657,9686.7725,9511.9799,9824.1342,10097.0673,10418.2045,10745.6583,11087.5498,11444.3687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO,historical,World,Nutrition|Calorie Supply|+|Crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497.2918,1527.4332,1527.7262,1551.5046,1560.1109,1568.6842,1564.5947,1556.9214,1560.5437,1595.5637,1566.3251,1552.6697,1588.039,1568.8242,1589.6787,1562.9,1583.0662,1624.1878,1611.4448,1611.1841,1623.8296,1646.1964,1685.2042,1678.4927,1668.3346,1669.0108,1678.5843,1685.0713,1690.6404,1670.0818,1661.7496,1675.4439,1685.6614,1693.8957,1701.668,1712.6667,1713.3031,1726.1598,1738.025,1739.6011,1733.9332,1727.217,1724.1899,1730.8974,1734.839,1735.7906,1747.8236,1761.482,1757.4116,1779.662,1788.6273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO,historical,World,Nutrition|Calorie Supply|+|Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7845,18.4507,18.9094,18.698,19.8956,20.1126,19.8098,20.8114,20.8065,21.6839,21.6151,21.8564,22.8347,22.801,22.8771,23.4918,23.3789,23.5126,23.2574,23.8516,24.5421,24.7178,24.8298,25.4191,26.0384,26.525,27.142,26.6277,27.2339,26.9068,25.6639,24.2244,24.6365,26.1136,27.4294,28.5033,28.1473,28.531,28.7658,29.3098,29.3247,29.4455,29.5393,30.4475,30.7857,31.4246,32.6182,33.5966,33.3652,33.9005,33.8445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO,historical,World,Nutrition|Calorie Supply|+|Livestock products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.9066,323.5819,331.1298,331.9232,334.0871,338.1636,342.2724,347.0925,343.4334,343.1,346.6004,348.1226,341.6272,346.838,345.6554,348.7948,348.4839,354.6157,361.9516,364.8881,363.3031,361.3426,367.2041,371.8685,380.5066,377.9106,379.9468,383.6057,384.7261,384.9224,381.8344,382.702,383.8945,391.32,396.543,395.8486,398.6154,407.7821,413.5869,417.9524,415.9662,423.1993,428.9312,431.9022,436.7193,444.4547,453.053,456.855,461.0187,467.7846,469.4479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO,historical,World,Nutrition|Calorie Supply|+|Secondary products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.6083,363.8222,369.5329,381.9719,393.2976,398.2608,399.3709,404.0286,414.0978,424.9156,428.1638,427.12,434.9839,440.7804,436.9084,451.3958,459.0207,471.707,477.1488,485.5279,487.6082,498.277,496.7114,506.0394,507.4291,509.8968,514.138,518.4208,521.201,523.8616,515.873,512.8393,504.9613,511.314,522.3127,524.7427,535.9565,531.9707,530.0831,537.4086,544.3129,547.6925,550.2134,554.5817,561.6601,566.4578,573.7235,573.3523,575.5608,573.4081,580.2129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,World,Household Expenditure|Food|Expenditure Share|Crops,USD/USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0452,,,,,0.0403,,,,,0.0372,,,,,0.0343,,,,,0.0351,,,,,0.0334,,,,,0.0355,,,,,0.037,,,,,0.0349,,,,,0.0335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,World,Household Expenditure|Food|Expenditure Share|Livestock products,USD/USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0286,,,,,0.0261,,,,,0.0242,,,,,0.0231,,,,,0.0228,,,,,0.0213,,,,,0.021,,,,,0.0195,,,,,0.018,,,,,0.0171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO,historical,World,Demand|+|Agricultural Supply Chain Loss,Mt DM/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.8345,,,,,82.5768,,,,,84.6027,,,,,103.6506,,,,,113.4943,,,,,136.62,,,,,135.8274,,,,,151.7356,,,,,146.0459,,,,,185.8905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAO,historical,World,Demand|+|Feed,Mt DM/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4673.9639,,,,,5016.0724,,,,,5284.9988,,,,,5556.4249,,,,,6116.8435,,,,,6261.0567,,,,,6520.5376,,,,,6897.3256,,,,,7452.2456,,,,,7866.4321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
