"Model","Scenario","Region","Variable","Unit","2005","2010","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"MESSAGE-GLOBIOM 1.0","SSP2-19","World","Emissions|CH4","Mt CH4/yr",334.2594117,325.8025452,329.6535424,267.6575185,219.9274489,192.0422204,169.0659854,146.7248379,127.4541507,112.9989254,103.2371543
"MESSAGE-GLOBIOM 1.0","SSP2-19","World","Emissions|CH4|AFOLU","Mt CH4/yr",146.8902395,149.5483113,151.9378312,151.2333454,132.0422178,115.8344,102.1010052,92.03323154,83.27174132,75.61662043,68.89856018
"MESSAGE-GLOBIOM 1.0","SSP2-19","World","Emissions|CO2","Mt CO2/yr",37767.24183,40313.50203,40931.32174,23633.12853,11524.1294,3778.922018,-1510.684608,-6540.368386,-10608.86418,-12410.88058,-13048.88988
"MESSAGE-GLOBIOM 1.0","SSP2-19","World","Emissions|CO2|AFOLU","Mt CO2/yr",6894.558733,7161.578136,4476.762383,721.614238,-1495.664526,-2285.441415,-3386.288427,-3567.443814,-3736.44211,-4251.409352,-4162.315552
"MESSAGE-GLOBIOM 1.0","SSP2-19","World","Emissions|N2O","kt N2O/yr",8286.062294,8748.511823,9564.996576,9770.745179,9218.902946,8196.762942,7417.858801,6556.565696,6111.997505,5636.21784,5251.32802
"MESSAGE-GLOBIOM 1.0","SSP2-19","World","Emissions|N2O|AFOLU","kt N2O/yr",6106.336894,6443.245423,6983.374876,7378.649979,7068.785546,6467.858942,5790.486101,5295.827296,4822.444905,4384.96834,4007.44032
"MESSAGE-GLOBIOM 1.0","SSP2-Baseline","World","Emissions|CH4","Mt CH4/yr",334.271352,326.5312227,345.3456956,373.1203152,393.4950937,411.4333682,425.5901578,433.3253072,436.4184341,434.1247642,422.1849603
"MESSAGE-GLOBIOM 1.0","SSP2-Baseline","World","Emissions|CH4|AFOLU","Mt CH4/yr",146.8902395,149.5483113,157.953304,168.5213177,177.4381994,183.279675,186.5919041,187.859268,187.451757,186.9961634,185.8588734
"MESSAGE-GLOBIOM 1.0","SSP2-Baseline","World","Emissions|CO2","Mt CO2/yr",37768.99436,40294.63828,42262.42525,46727.55065,51606.4515,56651.62919,61402.26901,65996.979,74133.62928,81028.37688,85684.20439
"MESSAGE-GLOBIOM 1.0","SSP2-Baseline","World","Emissions|CO2|AFOLU","Mt CO2/yr",6894.948483,7161.443786,5114.400392,4220.248626,3865.736274,3037.158405,1935.181211,907.57449,65.65157982,-248.5715778,-481.5632985
"MESSAGE-GLOBIOM 1.0","SSP2-Baseline","World","Emissions|N2O","kt N2O/yr",8285.950394,8758.082323,9742.624059,10959.87195,11930.02809,12689.41791,13157.97424,13459.98563,13872.232,14478.79637,15094.25517
"MESSAGE-GLOBIOM 1.0","SSP2-Baseline","World","Emissions|N2O|AFOLU","kt N2O/yr",6106.336894,6443.245423,7099.679159,7806.830453,8402.179588,8869.951011,9210.877842,9423.901433,9550.357404,9609.624571,9618.958368
"© IAMC 1.5°C Scenario Explorer hosted by IIASA https://data.ene.iiasa.ac.at/iamc-1.5c-explorer"
