model,scenario,variable,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EDGAR_LU,historical,Emissions|CH4|Land|+|Agriculture,Mt CH4/yr,,,,,,,,,,,128.0609,130.1929,130.7979,132.4699,134.2984,136.1574,136.6863,136.9699,136.6078,136.1879,137.6462,137.9495,137.7855,138.054,138.8465,138.496,139.2816,138.7055,139.8815,141.9846,142.2322,141.2038,140.7515,139.0739,139.4244,139.8515,139.285,137.7678,136.9772,137.9407,136.8365,137.1627,137.9092,139.2126,141.8155,143.898,146.0825,148.4417,150.6364,,,,,,,,,
PRIMAPhist,historical,Emissions|CH4|Land|+|Agriculture,Mt CH4/yr,91.4647,92.3438,94.0154,94.941,96.5624,97.9326,99.8714,101.6017,102.9485,103.4695,104.1745,106.0503,107.0589,108.9736,110.9495,112.7481,113.2227,113.8343,114.068,114.3288,116.0188,116.9254,117.3248,118.0128,118.9276,119.2182,120.0196,119.6966,120.9211,122.6604,122.8952,123.2201,122.8496,122.455,122.9162,123.8734,123.7296,123.704,124.0432,124.919,125.1614,126.0961,127.001,129.1157,131.4462,134.7113,134.9737,136.0074,136.7604,136.5113,136.6655,136.238,136.5985,137.2328,138.2609,141.3693,,
FAO_EmisAg,historical,Emissions|CH4|Land|Agriculture,Mt CH4/yr,,76.3728,77.8516,78.4845,79.9076,81.0494,82.5682,84.0549,85.2407,85.7132,86.3468,87.7469,88.5647,90.0404,91.7654,93.3124,93.8391,94.3534,94.6547,94.8764,96.1919,96.8827,97.1798,97.5886,98.3747,98.6932,99.4554,99.1233,100.1212,101.5458,105.6426,105.3194,105.3349,104.5569,105.1458,105.3925,104.7834,104.3891,104.5581,105.4685,105.3136,105.5757,105.9651,106.4309,108.3119,109.6755,110.8999,112.1829,113.0585,113.3914,114.7646,116.2811,,,,,,
FAO_EmisAg,projection,Emissions|CH4|Land|Agriculture,Mt CH4/yr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
FAO_EmisAg,historical,Emissions|N2O|Agriculture,Mt N2O/yr,,2.7272,2.8077,2.8723,2.9578,3.0692,3.1999,3.3063,3.3994,3.4663,3.5655,3.6739,3.7664,3.8893,3.927,4.1105,4.1735,4.2695,4.4219,4.504,4.6264,4.6608,4.7196,4.8559,4.9822,4.9956,5.0884,5.1679,5.2685,5.3406,6.2306,6.1791,6.1744,6.1199,6.1625,6.2931,6.3753,6.3462,6.4312,6.5082,6.4603,6.5465,6.6584,6.7039,6.8298,6.8986,7.0604,7.2632,7.4472,7.5537,7.6045,7.7871,,,,,,
FAO_EmisAg,projection,Emissions|N2O|Agriculture,Mt N2O/yr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
EDGAR_LU,historical,Emissions|N2O|Land|+|Agriculture,Mt N2O/yr,,,,,,,,,,,3.3383,3.424,3.5172,3.6245,3.6578,3.8167,3.8905,3.9989,4.1059,4.228,4.3197,4.3639,4.424,4.5365,4.6723,4.6889,4.7472,4.8395,4.9354,5.0027,5.02,4.9745,4.9602,4.9229,4.9929,5.1018,5.2002,5.1749,5.2298,5.2813,5.2576,5.3153,5.4094,5.4901,5.6351,5.6828,5.7543,5.8192,5.8838,,,,,,,,,
PRIMAPhist,historical,Emissions|N2O|Land|+|Agriculture,Mt N2O/yr,3.3256,3.5456,3.6403,3.7143,3.7926,3.9136,4.0634,4.1812,4.266,4.3313,4.4352,4.5554,4.6515,4.8057,4.844,5.0338,5.0947,5.1654,5.3086,5.3897,5.5119,5.5329,5.5704,5.6996,5.8194,5.8195,5.8814,5.9637,5.9999,6.0589,5.9846,5.9162,5.8596,5.7828,5.9083,6.0467,6.1126,6.0961,6.2431,6.1656,6.1439,6.2188,6.1904,6.3487,6.5453,6.5124,6.6559,6.8464,6.996,7.0875,7.2831,7.3399,7.4237,7.474,7.5315,7.7197,,
James,historical,Income,US$05 MER/cap/yr,3208.7531,3308.6919,3413.9677,3493.7656,3638.94,3749.1941,3859.2141,3930.2388,4063.8231,4188.3472,4268.5021,4347.3412,4484.7155,4671.7911,4678.2901,4635.2057,4772.8512,4866.6573,4980.9835,5075.7323,5061.2826,5062.1443,4995.2513,5036.891,5169.0158,5262.8961,5336.6407,5418.2139,5557.0576,5658.5024,5708.4401,5681.6226,5689.178,5681.188,5769.7869,5853.2713,5957.5994,6091.9786,6156.2071,6279.2997,6466.2742,6494.8745,6548.3695,6637.9843,6820.4992,6979.4115,7177.3052,7381.1854,7419.6803,7188.7149,7362.0603,7501.278,7680.4988,7858.8345,8042.3645,8230.7578,,
James,historical,Income,US$05 PPP/cap/yr,3760.9735,3868.2819,3984.1667,4071.5172,4259.1221,4394.3159,4523.9769,4605.7642,4768.2622,4912.4704,5037.4466,5139.3307,5284.4474,5507.6571,5543.1373,5522.0866,5698.5682,5813.5601,5948.3914,6050.0166,6048.4783,6046.3242,5988.0392,6038.4474,6190.3423,6295.7344,6397.4488,6503.8563,6662.3438,6771.601,6831.867,6805.6122,6789.5666,6802.2254,6909.0506,7028.3733,7181.4909,7357.1321,7429.9492,7592.3363,7839.0034,7910.243,8022.3669,8200.1168,8502.9234,8817.7249,9160.9138,9528.1657,9686.7725,9511.9799,9824.1342,10097.0673,10418.2045,10745.6583,11087.5498,11444.3687,,
James,historical,Income,million US$05 MER/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
James,historical,Income,million US$05 PPP/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
