Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE 3.0.1,SSP1-19,World,GDP|PPP,billion US$2010/yr,63148.6668,75308.07109,111996.8266,171440.2766,245515.05,320431.5469,391920.5469,461220.3063,522961.1063,577363.3938,621928.5875
IMAGE 3.0.1,SSP1-19,World,Land Cover|Cropland,million ha,1548.4313,1582.7749,1526.9417,1518.5726,1606.6995,1628.2508,1647.7194,1683.3292,1745.477,1771.2784,1792.9086
IMAGE 3.0.1,SSP1-19,World,Land Cover|Forest,million ha,3725.0472,3708.1456,3716.6844,3768.3424,3807.66,3910.3664,4000.0736,4081.1512,4139.9392,4202.4748,4226.5536
IMAGE 3.0.1,SSP1-19,World,Land Cover|Pasture,million ha,3188.831,3187.4282,3102.6094,3001.8686,2910.3748,2786.4836,2676.5352,2593.691,2528.7076,2467.073,2403.9948
IMAGE 3.0.1,SSP1-19,World,Population,million,6530.547852,6921.797852,7576.10498,8061.937988,8388.762695,8530.5,8492.175781,8298.950195,7967.387207,7510.454102,6957.98877
IMAGE 3.0.1,SSP1-19,World,Land Cover|Built-up Area,million ha,67.192,62.9635625,77.41855625,91.69869375,104.7354063,115.6914125,119.3473,121.2211125,121.24595,119.400025,115.9869125
IMAGE 3.0.1,SSP1-19,World,Food Demand|Crops,kcal/cap/day,2140.739014,2405.462891,2460.832275,2466.843018,2502.141846,2542.673828,2585.085449,2626.863037,2667.835449,2707.930664,2746.990234
IMAGE 3.0.1,SSP1-19,World,Food Demand|Livestock,kcal/cap/day,456.6909485,450.8689575,430.9934387,401.8101807,379.0082703,358.6086426,350.5177002,343.6497803,337.7132568,332.5348816,327.9244385
IMAGE 3.0.1,SSP1-19,World,Land Cover|Other Natural Land,million ha,4434.5946,4422.759,4540.4128,4583.5759,4534.5752,4523.2367,4520.3672,4484.6536,4428.6913,4403.8539,4424.7714
MESSAGE-GLOBIOM 1.0,SSP2-19,World,GDP|PPP,billion US$2010/yr,62186.08,74256.27,110987.14,155294.15,199076.24,245585.67,295854.24,353409.65,415817.16,482216.46,555043.61
MESSAGE-GLOBIOM 1.0,SSP2-19,World,Land Cover|Cropland,million ha,1536.067288,1546.158999,1614.22415,1681.637147,1726.221587,1762.611429,1803.229969,1866.411216,1909.303812,1934.25926,1942.57172
MESSAGE-GLOBIOM 1.0,SSP2-19,World,Land Cover|Forest,million ha,3917.438299,3893.268371,3906.224451,3955.32407,4059.170825,4192.742115,4319.579675,4415.692247,4488.395022,4552.235857,4611.184424
MESSAGE-GLOBIOM 1.0,SSP2-19,World,Land Cover|Pasture,million ha,3425.59039,3417.410605,3376.288996,3362.921322,3159.681678,2950.880288,2746.2141,2584.527915,2435.677281,2328.946217,2242.800073
MESSAGE-GLOBIOM 1.0,SSP2-19,World,Population,million,6503.13,6867.39,7611.25,8261.99,8787.12,9169.11,9384.7,9456.88,9407.26,9253.95,9032.42
MESSAGE-GLOBIOM 1.0,SSP2-19,World,Food Demand|Crops,kcal/cap/day,2334.008573,2348.584674,2391.913472,2435.161419,2401.106633,2326.66906,2223.196138,2169.388876,2128.355569,2109.160994,2095.946797
MESSAGE-GLOBIOM 1.0,SSP2-19,World,Food Demand|Livestock,kcal/cap/day,465.9148318,478.0996629,514.9457114,544.8854285,525.4982156,487.1262613,445.1684884,419.8696997,399.5118611,380.4343657,362.8890296
MESSAGE-GLOBIOM 1.0,SSP2-19,World,Land Cover|Other Natural Land,million ha,3597.491354,3619.749356,3579.849734,3476.704793,3531.513242,3570.353498,3607.563586,3609.955953,3643.211217,3661.145997,3680.031114
REMIND-MAgPIE 1.5,SSP5-19,World,GDP|PPP,billion US$2010/yr,62359.0,74327.0,112090.0,179080.0,271260.0,372240.0,484660.0,616000.0,755150.0,900900.0,1.05611e6
REMIND-MAgPIE 1.5,SSP5-19,World,Land Cover|Cropland,million ha,1474.4748,1523.962,1623.1669,1676.2038,1883.9674,2210.1801,2288.082,2349.7122,2375.3482,2367.7654,2270.2404
REMIND-MAgPIE 1.5,SSP5-19,World,Land Cover|Forest,million ha,4187.2523,4172.4209,4162.0754,4162.0754,4163.929,4165.3871,4167.5025,4171.3051,4172.5583,4176.9188,4178.0169
REMIND-MAgPIE 1.5,SSP5-19,World,Land Cover|Pasture,million ha,3117.2669,3085.0538,2951.7095,2887.0712,2664.7937,2312.3743,2220.0582,2152.2216,2088.1816,2005.4019,2014.13
REMIND-MAgPIE 1.5,SSP5-19,World,Population,million,6505.0,6894.0,7552.0,8054.0,8403.0,8579.0,8589.0,8457.0,8200.0,7831.0,7375.0
REMIND-MAgPIE 1.5,SSP5-19,World,Land Cover|Built-up Area,million ha,132.7665,132.7665,132.7665,132.7665,132.7665,132.7665,132.7665,132.7665,132.7665,132.7665,132.7665
REMIND-MAgPIE 1.5,SSP5-19,World,Food Demand|Crops,kcal/cap/day,2217.5005,2251.65,2317.9871,2403.9514,2504.4839,2613.3995,2730.502,2851.5729,2978.0276,3112.1923,3254.5879
REMIND-MAgPIE 1.5,SSP5-19,World,Food Demand|Livestock,kcal/cap/day,425.3643,464.0914,542.1792,639.4774,724.5488,780.1658,815.142,840.2952,855.173,861.4559,859.7186
REMIND-MAgPIE 1.5,SSP5-19,World,Land Cover|Other Natural Land,million ha,3995.5695,3993.1268,4037.6117,4049.2131,4061.8734,4086.6219,4098.9209,4101.3246,4138.4753,4224.4774,4312.1762
