variable,group,name,min,max,model,scenario,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
Land Cover|Cropland|Energy Crops,0,Energy Crops,0,1000,REMIND-MAgPIE 1.7-3.0,default,million ha,0.0006,3.4513,7.8524,17.7853,26.9378,39.5543,58.6076,97.115,148.9698,203.6187,250.6232,284.8647,337.137,366.2879,373.3289,380.8578
Land Cover|Cropland|Energy Crops,0,Energy Crops,0,1000,REMIND-MAgPIE 1.7-3.0,sustainable,million ha,0.0006,3.8384,7.7936,14.0522,21.1945,26.8674,47.7681,86.9949,125.1371,146.3312,150.7648,159.8376,156.5495,155.4223,156.8292,170.6768
Land Cover|Forest|Afforestation and Reforestation,0,Afforestation,0,1000,REMIND-MAgPIE 1.7-3.0,default,million ha,0.0,20.256,40.5219,153.8589,179.3709,198.6131,249.3674,292.5782,343.4013,395.5026,451.657,508.4794,596.6062,692.1564,822.4778,957.2495
Land Cover|Forest|Afforestation and Reforestation,0,Afforestation,0,1000,REMIND-MAgPIE 1.7-3.0,sustainable,million ha,0.0,20.256,40.5219,136.9005,277.4259,450.5776,595.413,672.6768,734.1654,800.666,836.5082,878.246,970.4855,1079.0639,1190.3612,1273.1164
Primary Energy|Biomass,0,Bioenergy,,,REMIND-MAgPIE 1.7-3.0,default,EJ/yr,45.4893,51.4492,56.9496,61.7289,67.4002,72.8442,81.7677,100.2533,126.0135,152.3026,175.7839,196.0851,230.0266,251.9478,255.9705,259.3648
Primary Energy|Biomass,0,Bioenergy,,,REMIND-MAgPIE 1.7-3.0,sustainable,EJ/yr,45.4893,51.4492,56.9496,61.3975,64.8999,67.7886,73.8133,84.9461,96.4575,103.2814,108.0638,112.737,120.2772,123.0631,127.1151,133.5501
Food Demand|Crops,1,Demand for Crops,0,2500,REMIND-MAgPIE 1.7-3.0,default,kcal/cap/day,2217.5005,2230.5738,2243.1243,2257.4908,2273.9223,2292.7307,2313.1511,2334.7578,2357.3741,2381.1028,2406.3321,2433.6771,2485.3235,2535.4706,2591.886,2658.1516
Food Demand|Crops,1,Demand for Crops,0,2500,REMIND-MAgPIE 1.7-3.0,sustainable,kcal/cap/day,2217.5005,2230.5738,2243.0763,2256.2644,2266.4057,2265.8874,2259.1295,2253.1749,2245.3497,2239.7547,2240.0828,2239.6159,2241.9082,2246.192,2251.294,2256.3579
Food Demand|Livestock,1,Demand for Livestock,0,2500,REMIND-MAgPIE 1.7-3.0,default,kcal/cap/day,425.3643,473.694,512.023,552.6243,583.6356,605.0788,619.1632,629.9738,638.3293,644.3372,648.754,651.8292,661.4516,670.9836,672.3843,661.4917
Food Demand|Livestock,1,Demand for Livestock,0,2500,REMIND-MAgPIE 1.7-3.0,sustainable,kcal/cap/day,425.3643,473.694,511.0268,536.3073,512.3643,453.589,403.0694,374.8581,361.5632,356.84,362.1869,367.1635,366.8513,360.1469,352.3534,344.5238
